date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:08:39	15473/15473	---M-Z	200	added ('OK')	text/html	etag:W/%2263bbed0b-3c71%22	https://themewagon.github.io/haircut/about.html	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/about.html	(from https://themewagon.github.io/haircut/open.html)
10:08:39	17198/17198	---M-Z	200	added ('OK')	text/html	etag:W/%2263bbed0b-432e%22	https://themewagon.github.io/haircut/service.html	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/service.html	(from https://themewagon.github.io/haircut/open.html)
10:08:40	11524/11524	---M-Z	200	added ('OK')	text/html	etag:W/%2263bbed0b-2d04%22	https://themewagon.github.io/haircut/price.html	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/price.html	(from https://themewagon.github.io/haircut/open.html)
10:08:40	17404/17404	---M-Z	200	added ('OK')	text/html	etag:W/%2263bbed0b-43fc%22	https://themewagon.github.io/haircut/team.html	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/team.html	(from https://themewagon.github.io/haircut/open.html)
10:08:40	10953/10953	---M-Z	200	added ('OK')	text/html	etag:W/%2263bbed0b-2ac9%22	https://themewagon.github.io/haircut/testimonial.html	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/testimonial.html	(from https://themewagon.github.io/haircut/open.html)
10:08:41	9606/9606	---M-Z	200	added ('OK')	text/html	etag:W/%2263bbed0b-2586%22	https://themewagon.github.io/haircut/404.html	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/404.html	(from https://themewagon.github.io/haircut/open.html)
10:08:41	12436/12436	---M-Z	200	added ('OK')	text/html	etag:W/%2263bbed0b-3094%22	https://themewagon.github.io/haircut/contact.html	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/contact.html	(from https://themewagon.github.io/haircut/open.html)
10:08:41	54555/54555	---M--	200	added ('OK')	image/jpeg	etag:%2263bbed0b-d51b%22	https://themewagon.github.io/haircut/img/open.jpg	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/img/open.jpg	(from https://themewagon.github.io/haircut/open.html)
10:08:43	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	C:/Users/JOHNSON/Desktop/timetable/code.jquery.com/jquery-3.4.1.min.js	(from https://themewagon.github.io/haircut/open.html)
10:08:43	79665/79665	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213731-2JYXAt9UqpcPHzAIfI0LH2lnx4Q%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	C:/Users/JOHNSON/Desktop/timetable/cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	(from https://themewagon.github.io/haircut/open.html)
10:08:44	8156/8156	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263bbed0b-1fdc%22	https://themewagon.github.io/haircut/lib/wow/wow.min.js	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/lib/wow/wow.min.js	(from https://themewagon.github.io/haircut/open.html)
10:08:44	2302/2302	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263bbed0b-8fe%22	https://themewagon.github.io/haircut/lib/easing/easing.min.js	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/lib/easing/easing.min.js	(from https://themewagon.github.io/haircut/open.html)
10:08:45	9028/9028	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263bbed0b-2344%22	https://themewagon.github.io/haircut/lib/waypoints/waypoints.min.js	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/lib/waypoints/waypoints.min.js	(from https://themewagon.github.io/haircut/open.html)
10:08:45	42766/42766	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263bbed0b-a70e%22	https://themewagon.github.io/haircut/lib/owlcarousel/owl.carousel.min.js	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/lib/owlcarousel/owl.carousel.min.js	(from https://themewagon.github.io/haircut/open.html)
10:08:46	1238/1238	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263bbed0b-4d6%22	https://themewagon.github.io/haircut/js/main.js	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/js/main.js	(from https://themewagon.github.io/haircut/open.html)
10:08:46	85120/85120	---M--	200	added ('OK')	font/woff2	etag:W/%2214c80-7RZ9M14uDLAKgvLXNn8Fy01lV88%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff2?231ce25e89ab5804f9a6c427b8d325c9	C:/Users/JOHNSON/Desktop/timetable/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
10:08:47	113532/113532	---M--	200	added ('OK')	font/woff	etag:W/%221bb7c-47yt78jTFi+euyu4fJGbVQNZ9TA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff?231ce25e89ab5804f9a6c427b8d325c9	C:/Users/JOHNSON/Desktop/timetable/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
10:08:48	4976/4976	---M--	200	added ('OK')	image/png	etag:%2263bbed0b-1370%22	https://themewagon.github.io/haircut/lib/owlcarousel/assets/owl.video.play.png	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/lib/owlcarousel/assets/owl.video.play.png	(from https://themewagon.github.io/haircut/lib/owlcarousel/assets/owl.carousel.min.css)
10:08:49	61929/61929	---M--	200	added ('OK')	image/jpeg	etag:%2263bbed0b-f1e9%22	https://themewagon.github.io/haircut/img/carousel-1.jpg	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/img/carousel-1.jpg	(from https://themewagon.github.io/haircut/css/style.css)
10:08:49	57154/57154	---M--	200	added ('OK')	image/jpeg	etag:%2263bbed0b-df42%22	https://themewagon.github.io/haircut/img/carousel-2.jpg	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/img/carousel-2.jpg	(from https://themewagon.github.io/haircut/index.html)
10:08:49	49852/49852	---M--	200	added ('OK')	image/jpeg	etag:%2263bbed0b-c2bc%22	https://themewagon.github.io/haircut/img/about.jpg	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/img/about.jpg	(from https://themewagon.github.io/haircut/index.html)
10:08:50	1797/1797	---M--	200	added ('OK')	image/png	etag:%2263bbed0b-705%22	https://themewagon.github.io/haircut/img/haircut.png	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/img/haircut.png	(from https://themewagon.github.io/haircut/index.html)
10:08:50	1709/1709	---M--	200	added ('OK')	image/png	etag:%2263bbed0b-6ad%22	https://themewagon.github.io/haircut/img/beard-trim.png	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/img/beard-trim.png	(from https://themewagon.github.io/haircut/index.html)
10:08:50	1627/1627	---M--	200	added ('OK')	image/png	etag:%2263bbed0b-65b%22	https://themewagon.github.io/haircut/img/mans-shave.png	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/img/mans-shave.png	(from https://themewagon.github.io/haircut/index.html)
10:08:51	1953/1953	---M--	200	added ('OK')	image/png	etag:%2263bbed0b-7a1%22	https://themewagon.github.io/haircut/img/hair-dyeing.png	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/img/hair-dyeing.png	(from https://themewagon.github.io/haircut/index.html)
10:08:51	1915/1915	---M--	200	added ('OK')	image/png	etag:%2263bbed0b-77b%22	https://themewagon.github.io/haircut/img/mustache.png	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/img/mustache.png	(from https://themewagon.github.io/haircut/index.html)
10:08:52	2007/2007	---M--	200	added ('OK')	image/png	etag:%2263bbed0b-7d7%22	https://themewagon.github.io/haircut/img/stacking.png	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/img/stacking.png	(from https://themewagon.github.io/haircut/index.html)
10:08:52	85204/85204	---M--	200	added ('OK')	image/jpeg	etag:%2263bbed0b-14cd4%22	https://themewagon.github.io/haircut/img/price.jpg	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/img/price.jpg	(from https://themewagon.github.io/haircut/index.html)
10:08:52	45438/45438	---M--	200	added ('OK')	image/jpeg	etag:%2263bbed0b-b17e%22	https://themewagon.github.io/haircut/img/team-1.jpg	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/img/team-1.jpg	(from https://themewagon.github.io/haircut/index.html)
10:08:53	25743/25743	---M--	200	added ('OK')	image/jpeg	etag:%2263bbed0b-648f%22	https://themewagon.github.io/haircut/img/team-2.jpg	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/img/team-2.jpg	(from https://themewagon.github.io/haircut/index.html)
10:08:53	53436/53436	---M--	200	added ('OK')	image/jpeg	etag:%2263bbed0b-d0bc%22	https://themewagon.github.io/haircut/img/team-3.jpg	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/img/team-3.jpg	(from https://themewagon.github.io/haircut/index.html)
10:08:53	20991/20991	---M--	200	added ('OK')	image/jpeg	etag:%2263bbed0b-51ff%22	https://themewagon.github.io/haircut/img/team-4.jpg	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/img/team-4.jpg	(from https://themewagon.github.io/haircut/index.html)
10:08:54	3386/3386	---M--	200	added ('OK')	image/jpeg	etag:%2263bbed0b-d3a%22	https://themewagon.github.io/haircut/img/testimonial-1.jpg	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/img/testimonial-1.jpg	(from https://themewagon.github.io/haircut/index.html)
10:08:54	3355/3355	---M--	200	added ('OK')	image/jpeg	etag:%2263bbed0b-d1b%22	https://themewagon.github.io/haircut/img/testimonial-2.jpg	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/img/testimonial-2.jpg	(from https://themewagon.github.io/haircut/index.html)
10:08:55	3989/3989	---M--	200	added ('OK')	image/jpeg	etag:%2263bbed0b-f95%22	https://themewagon.github.io/haircut/img/testimonial-3.jpg	C:/Users/JOHNSON/Desktop/timetable/themewagon.github.io/haircut/img/testimonial-3.jpg	(from https://themewagon.github.io/haircut/index.html)
10:08:56	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
